Positive,Negative,Neutral
hungry,stain,public
conducive,tinpot,fruitful
conclusion,botch,air-dried
pungent,unsubdued,gross
k,jerky,tend
rational,uncongenial,delicately
active,spicy,dry
merely,indolent,angle
unsubdued,grayness,okeh
well-meaning,colossal,abdominous
veracious,laid low,unrefined
scented,sinister,dumpy
whip,conserve,fatty
spicy,screaming,fatness
untried,drop-off,suety
colossal,recollect,acceptable
rinse,deaden,superfatted
express joy,derriere,run
variance,sex,ironic
ultramodern,at one time,exquisitely
speckless,negligible,thirsty
lacuna,stinking,dustlike
kinky,volumed,anticipated
insurrection,abate,lean
scrumptious,thundery,expectable
hotshot,swingeing,lank
wizard,spoiled,uncouth
progressive,regorge,sanction
volition,remember,bear
worry,infected,plebeian
low-cost,prat,o.k.
beatnik,trouble,dried-up
meteoric,cloud,rainless
brassy,high-risk,bone-dry
aim,gaumless,floury
honeyed,spurt,unstimulating
derriere,blown-up,list
sober,abnormal,expect
private eye,untrained,buttery
nouveau-riche,groundwork,precise
lift,of age,fertile
break of the day,centenarian,common
volumed,reverent,sober
tonal,auld,arid
efficacious,pestiferous,await
stupefy,steely,vernacular
fitter,keep up,fatten
civic,windburned,fill out
amend,robust,alright
flight,saami,be given
will,sloughy,blubbery
gain,ill-favored,look
remember,honest-to-god,finely
pass off,goosy,ironical
golden,elephantine,fatten up
pivotal,shaft,sooner state
prat,fag,corpulent
facilitatory,poor,milkless
mount,reasonably,okey
blown-up,hold out,adequate
splendid,then,elegant
sting,comrade,kiln-dried
forward,pissed,mutual
uprising,clog up,productive
reverent,slack up,plain
picture,handsome,lowborn
goddamn,fast,matter-of-course
several,operose,dry-shod
boast,scrofulous,unexceptionable
overlord,pencil eraser,shriveled
frolic,gouty,unemotional
blank shell,embryonic,gestate
weird,unpeaceful,comforting
fell,phrenetic,tearless
stand-up,careworn,right
ending,slopped,expected
recherche,harebrained,grassroots
robust,decelerate,inferior
lush,carbuncled,standard
lustrous,fearful,gangling
honest-to-god,tempestuous,green
advancing,soaked,familiar
